Ticker,Total_Trades,Win_Rate_Pct,Net_PnL,Final_Capital,Avg_Days_Held
CODA,100,71.0,5549675265068.706,5549675275068.706,46.79
RCAT,80,63.74999999999999,109818297532.73761,109818307532.73761,63.5625
OLB,44,63.63636363636363,47554627972.07609,47554637972.07609,60.97727272727273
SOBR,67,76.11940298507463,35519821004.32538,35519831004.32538,44.62686567164179
SMTI,106,64.15094339622641,30965089355.66075,30965099355.66075,59.943396226415096
DTST,50,74.0,12206375875.358803,12206385875.358803,58.08
QUBT,64,65.625,8002503312.863288,8002513312.863288,71.140625
BCDA,108,66.66666666666666,6165345882.039001,6165355882.039001,52.7037037037037
IDR,77,77.92207792207793,4164862466.88995,4164872466.88995,66.16883116883118
ARWR,117,68.37606837606837,3904825378.7322874,3904835378.7322874,54.8034188034188
POCI,133,72.93233082706767,2468918402.508084,2468928402.508084,50.17293233082707
BLFS,98,66.3265306122449,1694287183.5990276,1694297183.5990276,74.20408163265306
EVI,131,74.04580152671755,1516042823.5554614,1516052823.5554614,49.87022900763359
KRMD,116,70.6896551724138,1000140008.5150583,1000150008.5150583,50.94827586206897
NEXM,71,71.83098591549296,848830128.7709761,848840128.7709761,44.478873239436616
NCPL,66,57.57575757575758,593764330.940299,593774330.940299,67.21212121212122
SHEL,153,86.9281045751634,566848470.0910827,566858470.0910827,42.888888888888886
MSLE,57,71.9298245614035,518939000.52253866,518949000.52253866,52.3859649122807
PCYO,106,74.52830188679245,257434322.24914104,257444322.24914104,54.943396226415096
ATON,68,61.76470588235294,176313627.8679143,176323627.8679143,73.63235294117646
BESS,78,58.97435897435898,118096651.0145359,118106651.0145359,59.743589743589745
DLHC,119,72.26890756302521,96826020.59336716,96836020.59336716,68.57142857142857
SCWO,122,65.57377049180327,93219537.51080495,93229537.51080495,51.09836065573771
LIXT,76,61.8421052631579,88614046.2781182,88624046.2781182,51.671052631578945
NIXX,41,65.85365853658537,82338050.91432226,82348050.91432226,77.8048780487805
ASTH,75,69.33333333333334,50597417.206008375,50607417.206008375,42.45333333333333
WKSP,47,57.446808510638306,46796661.70319843,46806661.70319843,114.19148936170212
ASYS,128,67.96875,45831835.53834844,45841835.53834844,65.4453125
EP,103,65.0485436893204,45410395.748129606,45420395.748129606,50.310679611650485
DFTX,26,53.84615384615385,45299906.61242163,45309906.61242163,74.38461538461539
ORLA,35,68.57142857142857,40599006.73846479,40609006.73846479,40.68571428571428
CPSH,127,69.29133858267717,37651499.42389369,37661499.42389369,50.496062992125985
ODV,48,62.5,37583298.691024005,37593298.691024005,77.125
RVYL,57,61.40350877192983,29221798.8796196,29231798.8796196,58.56140350877193
IPM,74,68.91891891891892,28143319.236549556,28153319.236549556,53.689189189189186
HNRG,102,65.68627450980392,27642828.201411664,27652828.201411664,59.72549019607843
DGICB,166,78.3132530120482,25631377.453202963,25641377.453202963,41.51204819277108
INLX,60,66.66666666666666,25553189.398887515,25563189.398887515,43.61666666666667
MTA,59,71.1864406779661,24771244.252469476,24781244.252469476,53.644067796610166
ABVC,47,63.829787234042556,20340796.219632864,20350796.219632864,58.1063829787234
HYFT,56,71.42857142857143,19284761.793454826,19294761.793454826,97.98214285714286
CLWT,88,63.63636363636363,18298900.498601913,18308900.498601913,66.1590909090909
